S.No.,Country,2019-2020,%Share,2020-2021,%Share,%Growth
1,AFGHANISTAN,529.84,0.11,509.49,0.13,-3.84
2,ALBANIA,47.51,0.01,8.30,0.00,-82.52
3,ALGERIA,1996.76,0.42,408.79,0.10,-79.53
4,AMERI SAMOA,3.08,0.00,0.96,0.00,-68.77
5,ANDORRA,0.03,0.00,0.01,0.00,-81.21
6,ANGOLA,3649.02,0.77,1879.74,0.48,-48.49
7,ANGUILLA,0.10,0.00,0.18,0.00,82.47
8,ANTARTICA,0.08,0.00,0.67,0.00,771.24
9,ANTIGUA,0.20,0.00,0.14,0.00,-27.90
10,ARGENTINA,2327.26,0.49,2627.05,0.67,12.88
11,ARMENIA,1.56,0.00,96.46,0.02,6097.50
12,ARUBA,0.30,0.00,0.81,0.00,166.45
13,AUSTRALIA,9782.22,2.06,8247.30,2.09,-15.69
14,AUSTRIA,629.74,0.13,623.10,0.16,-1.05
15,AZERBAIJAN,273.91,0.06,229.07,0.06,-16.37
16,BAHAMAS,14.70,0.00,35.84,0.01,143.87
17,BAHARAIN IS,421.50,0.09,547.49,0.14,29.89
18,BANGLADESH PR,1264.74,0.27,1091.66,0.28,-13.69
19,BARBADOS,1.48,0.00,0.61,0.00,-59.15
20,BELARUS,147.44,0.03,287.65,0.07,95.09
21,BELGIUM,8879.46,1.87,6940.68,1.76,-21.83
22,BELIZE,0.96,0.00,0.50,0.00,-48.12
23,BENIN,358.94,0.08,325.97,0.08,-9.19
24,BERMUDA,0.00,0.00,0.04,0.00,0.00
25,BHUTAN,405.73,0.09,433.00,0.11,6.72
26,BOLIVIA,845.88,0.18,1159.14,0.29,37.03
27,BOSNIA-HRZGOVIN,3.33,0.00,1.92,0.00,-42.34
28,BOTSWANA,744.00,0.16,461.72,0.12,-37.94
29,BR VIRGN IS,8.57,0.00,11.03,0.00,28.71
30,BRAZIL,3074.97,0.65,3015.99,0.76,-1.92
31,BRUNEI,586.28,0.12,329.25,0.08,-43.84
32,BULGARIA,144.06,0.03,125.38,0.03,-12.97
33,BURKINA FASO,542.67,0.11,359.94,0.09,-33.67
34,BURUNDI,3.83,0.00,0.07,0.00,-98.18
35,C AFRI REP,0.56,0.00,0.23,0.00,-59.61
36,CAMBODIA,46.69,0.01,39.35,0.01,-15.73
37,CAMEROON,676.36,0.14,202.47,0.05,-70.07
38,CANADA,3880.33,0.82,2686.43,0.68,-30.77
39,CAPE VERDE IS,2.04,0.00,2.04,0.00,-0.37
40,CAYMAN IS,1.44,0.00,86.45,0.02,5920.76
41,CHAD,270.75,0.06,50.00,0.01,-81.53
42,CHILE,1175.67,0.25,670.60,0.17,-42.96
43,CHINA P RP,65260.75,13.75,65212.25,16.53,-0.07
44,CHRISTMAS IS.,0.01,0.00,0.00,0.00,-87.25
45,COLOMBIA,810.95,0.17,1403.61,0.36,73.08
46,COMOROS,19.65,0.00,12.48,0.00,-36.49
47,CONGO D. REP.,32.13,0.01,10.16,0.00,-68.38
48,CONGO P REP,587.50,0.12,245.94,0.06,-58.14
49,COOK IS,0.00,0.00,0.03,0.00,0.00
50,COSTA RICA,48.71,0.01,47.25,0.01,-2.99
51,COTE D' IVOIRE,454.88,0.10,317.51,0.08,-30.20
52,CROATIA,57.18,0.01,42.81,0.01,-25.14
53,CUBA,3.53,0.00,69.44,0.02,1864.74
54,CYPRUS,74.43,0.02,23.98,0.01,-67.78
55,CZECH REPUBLIC,299.42,0.06,393.12,0.10,31.29
56,DENMARK,632.40,0.13,589.13,0.15,-6.84
57,DJIBOUTI,19.54,0.00,20.16,0.01,3.21
58,DOMINIC REP,361.11,0.08,256.94,0.07,-28.85
59,DOMINICA,0.25,0.00,0.25,0.00,-0.64
60,ECUADOR,361.60,0.08,333.25,0.08,-7.84
61,EGYPT A RP,2031.38,0.43,1892.40,0.48,-6.84
62,EL SALVADOR,3.20,0.00,3.82,0.00,19.29
63,EQUTL GUINEA,972.88,0.20,286.79,0.07,-70.52
64,ERITREA,0.00,0.00,0.00,0.00,0.00
65,ESTONIA,54.06,0.01,59.96,0.02,10.91
66,ETHIOPIA,98.55,0.02,32.64,0.01,-66.88
67,FALKLAND IS,0.03,0.00,0.00,0.00,0.00
68,FIJI IS,0.57,0.00,1.33,0.00,132.51
69,FINLAND,625.65,0.13,713.20,0.18,13.99
70,FR GUIANA,2.90,0.00,1.29,0.00,-55.62
71,FR POLYNESIA,0.05,0.00,0.07,0.00,38.22
72,FRANCE,6168.82,1.30,4343.22,1.10,-29.59
73,GABON,138.40,0.03,405.46,0.10,192.98
74,GAMBIA,40.95,0.01,38.41,0.01,-6.22
75,GEORGIA,11.40,0.00,86.90,0.02,662.61
76,GERMANY,13691.11,2.88,13643.02,3.46,-0.35
77,GHANA,1773.55,0.37,1374.96,0.35,-22.47
78,GIBRALTAR,1.01,0.00,0.46,0.00,-54.68
79,GREECE,123.71,0.03,143.02,0.04,15.61
80,GREENLAND,0.00,0.00,0.02,0.00,0.00
81,GRENADA,0.48,0.00,0.46,0.00,-4.25
82,GUADELOUPE,0.20,0.00,0.69,0.00,245.85
83,GUAM,0.00,0.00,0.03,0.00,1893.75
84,GUATEMALA,22.95,0.00,20.75,0.01,-9.58
85,GUINEA,416.30,0.09,1631.02,0.41,291.79
86,GUINEA BISSAU,124.54,0.03,126.99,0.03,1.97
87,GUYANA,6.95,0.00,11.28,0.00,62.16
88,HAITI,13.94,0.00,13.47,0.00,-3.35
89,HONDURAS,19.32,0.00,12.56,0.00,-34.96
90,HONG KONG,16935.32,3.57,15172.82,3.85,-10.41
91,HUNGARY,187.68,0.04,218.92,0.06,16.65
92,ICELAND,10.41,0.00,6.22,0.00,-40.30
93,INDONESIA,15061.87,3.17,12470.17,3.16,-17.21
94,IRAN,1397.33,0.29,331.48,0.08,-76.28
95,IRAQ,23740.18,5.00,14287.10,3.62,-39.82
96,IRELAND,604.15,0.13,414.46,0.11,-31.40
97,ISRAEL,1592.70,0.34,1960.19,0.50,23.07
98,ITALY,4490.92,0.95,3862.05,0.98,-14.00
99,JAMAICA,2.96,0.00,2.23,0.00,-24.67
100,JAPAN,12434.67,2.62,10924.74,2.77,-12.14
101,JERSEY ,0.14,0.00,0.00,0.00,0.00
102,JORDAN,1064.66,0.22,1065.53,0.27,0.08
103,KAZAKHSTAN,2255.70,0.48,804.97,0.20,-64.31
104,KENYA,89.62,0.02,130.27,0.03,45.36
105,KOREA DP RP,3.47,0.00,1.41,0.00,-59.26
106,KOREA RP,15659.70,3.30,12772.97,3.24,-18.43
107,KUWAIT,9573.80,2.02,5214.15,1.32,-45.54
108,KYRGHYZSTAN,1.33,0.00,5.16,0.00,289.15
109,LAO PD RP,3.09,0.00,1.70,0.00,-45.09
110,LATVIA,265.54,0.06,48.88,0.01,-81.59
111,LEBANON,30.94,0.01,27.95,0.01,-9.63
112,LESOTHO,0.04,0.00,0.17,0.00,278.62
113,LIBERIA,7.75,0.00,6.95,0.00,-10.28
114,LIBYA,43.09,0.01,70.52,0.02,63.66
115,LIECHTENSTEIN,0.42,0.00,0.34,0.00,-19.32
116,LITHUANIA,262.09,0.06,321.05,0.08,22.49
117,LUXEMBOURG,54.35,0.01,30.49,0.01,-43.90
118,MACAO,5.09,0.00,24.52,0.01,381.75
119,MACEDONIA,14.51,0.00,5.82,0.00,-59.93
120,MADAGASCAR,119.24,0.03,80.14,0.02,-32.79
121,MALAWI,31.76,0.01,7.07,0.00,-77.73
122,MALAYSIA,9782.28,2.06,8373.05,2.12,-14.41
123,MALDIVES,6.00,0.00,24.49,0.01,308.33
124,MALI,38.07,0.01,13.97,0.00,-63.31
125,MALTA,121.90,0.03,23.71,0.01,-80.55
126,MARSHALL ISLAND,3.61,0.00,1.66,0.00,-54.01
127,MARTINIQUE,0.29,0.00,0.82,0.00,183.17
128,MAURITANIA,10.70,0.00,5.49,0.00,-48.63
129,MAURITIUS,27.89,0.01,42.61,0.01,52.74
130,MAYOTTE,0.36,0.00,0.32,0.00,-9.87
131,MEXICO,4296.80,0.91,2845.91,0.72,-33.77
132,MOLDOVA,0.25,0.00,1.00,0.00,295.03
133,MONACO,61.50,0.01,0.01,0.00,-99.99
134,MONGOLIA,1.30,0.00,0.42,0.00,-67.37
135,MONTENEGRO,0.16,0.00,0.40,0.00,142.92
136,MOROCCO,952.54,0.20,1436.82,0.36,50.84
137,MOZAMBIQUE,835.07,0.18,631.60,0.16,-24.37
138,MYANMAR,547.25,0.12,526.79,0.13,-3.74
139,N. MARIANA IS.,0.00,0.00,0.29,0.00,96900.00
140,NAMIBIA,28.54,0.01,30.23,0.01,5.89
141,NAURU RP,0.07,0.00,0.05,0.00,-18.75
142,NEPAL,711.61,0.15,673.16,0.17,-5.40
143,NETHERLAND,3390.97,0.71,3317.72,0.84,-2.16
144,NETHERLANDANTIL,22.76,0.00,4.07,0.00,-82.11
145,NEW CALEDONIA,0.23,0.00,1.81,0.00,686.28
146,NEW ZEALAND,521.83,0.11,381.53,0.10,-26.89
147,NICARAGUA,3.60,0.00,6.18,0.00,71.96
148,NIGER,0.90,0.00,4.12,0.00,356.59
149,NIGERIA,10213.61,2.15,5672.38,1.44,-44.46
150,NORFOLK IS,0.45,0.00,0.24,0.00,-45.01
151,NORWAY,630.79,0.13,673.66,0.17,6.80
152,OMAN,3669.33,0.77,3087.93,0.78,-15.85
153,PAKISTAN IR,13.97,0.00,2.39,0.00,-82.91
154,PALAU,0.00,0.00,0.00,0.00,-79.41
155,PANAMA REPUBLIC,75.83,0.02,32.95,0.01,-56.55
156,PAPUA N GNA,55.70,0.01,125.85,0.03,125.96
157,PARAGUAY,25.28,0.01,15.61,0.00,-38.23
158,PERU,1575.09,0.33,1520.88,0.39,-3.44
159,PHILIPPINES,523.83,0.11,572.47,0.15,9.28
160,PITCAIRN IS.,0.02,0.00,0.01,0.00,-60.42
161,POLAND,849.58,0.18,706.35,0.18,-16.86
162,PORTUGAL,141.82,0.03,113.96,0.03,-19.64
163,PUERTO RICO,52.45,0.01,29.11,0.01,-44.50
164,QATAR,9685.98,2.04,7930.15,2.01,-18.13
165,REUNION,18.52,0.00,18.42,0.00,-0.56
166,ROMANIA,261.34,0.06,193.97,0.05,-25.78
167,RUSSIA,7093.01,1.49,5485.75,1.39,-22.66
168,RWANDA,4.10,0.00,6.67,0.00,62.49
169,SAMOA,3.00,0.00,0.45,0.00,-84.85
170,SAN MARINO,0.15,0.00,0.08,0.00,-45.68
171,SAO TOME,0.00,0.00,0.08,0.00,0.00
172,SAUDI ARAB,26857.37,5.66,16186.76,4.10,-39.73
173,SENEGAL,469.47,0.10,401.13,0.10,-14.56
174,SERBIA,11.51,0.00,7.31,0.00,-36.48
175,SEYCHELLES,4.71,0.00,3.64,0.00,-22.69
176,SIERRA LEONE,24.49,0.01,8.71,0.00,-64.45
177,SINGAPORE,14746.78,3.11,13304.92,3.37,-9.78
178,SLOVAK REP,54.84,0.01,35.58,0.01,-35.11
179,SLOVENIA,248.43,0.05,271.78,0.07,9.40
180,SOLOMON IS,38.97,0.01,33.86,0.01,-13.11
181,SOMALIA,15.05,0.00,5.67,0.00,-62.31
182,SOUTH AFRICA,6969.79,1.47,7568.20,1.92,8.59
183,SOUTH SUDAN ,7.33,0.00,1.58,0.00,-78.44
184,SPAIN,1613.17,0.34,1511.92,0.38,-6.28
185,SRI LANKA DSR,903.69,0.19,642.94,0.16,-28.85
186,ST HELENA,0.01,0.00,0.01,0.00,-28.86
187,ST KITT N A,0.00,0.00,0.00,0.00,0.00
188,ST LUCIA,0.61,0.00,0.39,0.00,-36.11
