S.No.,Country,2019-2020,%Share,2020-2021,%Share,%Growth
189,ST VINCENT,0.00,0.00,12.17,0.00,0.00
190,STATE OF PALEST,0.74,0.00,0.15,0.00,-80.00
191,SUDAN,396.75,0.08,368.28,0.09,-7.18
192,SURINAME,55.07,0.01,34.14,0.01,-38.01
193,SWAZILAND,7.03,0.00,50.87,0.01,623.23
194,SWEDEN,1114.48,0.23,1004.76,0.25,-9.84
195,SWITZERLAND,16899.89,3.56,18230.95,4.62,7.88
196,SYRIA,15.34,0.00,15.31,0.00,-0.22
197,TAIWAN,4046.23,0.85,4036.75,1.02,-0.23
198,TAJIKISTAN,0.29,0.00,1.06,0.00,264.36
199,TANZANIA REP,1023.47,0.22,934.88,0.24,-8.66
200,THAILAND,6788.38,1.43,5682.27,1.44,-16.29
201,TIMOR LESTE,0.00,0.00,0.04,0.00,0.00
202,TOGO,383.54,0.08,300.23,0.08,-21.72
203,TOKELAU IS,0.08,0.00,0.02,0.00,-75.68
204,TONGA,0.00,0.00,0.00,0.00,0.00
205,TRINIDAD,84.42,0.02,189.36,0.05,124.30
206,TUNISIA,131.13,0.03,123.36,0.03,-5.93
207,TURKEY,2116.56,0.45,1467.33,0.37,-30.67
208,TURKMENISTAN,3.99,0.00,0.30,0.00,-92.59
209,TURKS C IS,0.01,0.00,0.05,0.00,340.54
210,U ARAB EMTS,30256.65,6.37,26622.99,6.75,-12.01
211,U K,6712.63,1.41,4955.76,1.26,-26.17
212,U S A,35819.87,7.55,28888.10,7.32,-19.35
213,UGANDA,33.98,0.01,38.59,0.01,13.57
214,UKRAINE,2060.79,0.43,2139.86,0.54,3.84
215,UNSPECIFIED,123.49,0.03,56.44,0.01,-54.29
216,URUGUAY,57.24,0.01,163.59,0.04,185.81
217,US MINOR OUTLYING ISLANDS ,0.40,0.00,0.29,0.00,-29.12
218,UZBEKISTAN,66.85,0.01,14.94,0.00,-77.65
219,VANUATU REP,0.26,0.00,0.02,0.00,-93.91
220,VATICAN CITY,0.18,0.00,0.02,0.00,-89.17
221,VENEZUELA,6057.01,1.28,714.24,0.18,-88.21
222,VIETNAM SOC REP,7283.42,1.53,6120.66,1.55,-15.96
223,VIRGIN IS US,7.50,0.00,0.09,0.00,-98.85
224,WALLIS F IS,0.00,0.00,0.00,0.00,0.00
225,YEMEN REPUBLC,22.73,0.00,23.39,0.01,2.90
226,ZAMBIA,843.32,0.18,126.50,0.03,-85.00
227,ZIMBABWE,13.59,0.00,5.71,0.00,-58.01
0,India's Total Import,474709.28,0.00,394435.88,0.00,-16.91
230,ZIMBABWE,7.79,0.00,13.59,0.00,74.38
0,India's Total Import,514078.42,0.00,474709.28,0.00,-7.66
231,UZBEKISTAN,180.21 ,0.06 ,280.07 ,0.10 ,55.41 
232,VANUATU REP,2.42 ,0.00 ,2.25 ,0.00 ,(6.82)
233,VATICAN CITY,0.03 ,0.00 ,0.07 ,0.00 ,108.18 
234,VENEZUELA,339.71 ,0.11 ,557.10 ,0.19 ,63.99 
235,VIETNAM SOC REP,"5,059.90 ",1.61 ,"4,999.64 ",1.71 ,(1.19)
236,VIRGIN IS US,81.40 ,0.03 ,74.97 ,0.03 ,(7.90)
237,WALLIS F IS,0.02 ,0.00 ,0.02 ,0.00 ,3.59 
238,YEMEN REPUBLC,721.25 ,0.23 ,785.54 ,0.27 ,8.91 
239,ZAMBIA,247.64 ,0.08 ,268.87 ,0.09 ,8.57 
240,ZIMBABWE,161.13 ,0.05 ,175.72 ,0.06 ,9.05 
0,India's Total Export,"313,361.04 ",0.00 ,"291,808.48 ",0.00 ,(6.88)
