S.No.,Country,2018-2019,%Share,2019-2020,%Share,%Growth
1,AFGHANISTAN,715.44,0.22,997.58,0.32,39.43
2,ALBANIA,37.08,0.01,44.12,0.01,18.97
3,ALGERIA,940.27,0.28,611.02,0.20,-35.02
4,AMERI SAMOA,0.03,0.00,0.13,0.00,401.54
5,ANDORRA,0.33,0.00,0.08,0.00,-76.43
6,ANGOLA,282.36,0.09,285.10,0.09,0.97
7,ANGUILLA,0.16,0.00,0.04,0.00,-71.59
8,ANTARTICA,0.00,0.00,0.02,0.00,575.00
9,ANTIGUA,2.71,0.00,2.19,0.00,-19.20
10,ARGENTINA,562.93,0.17,763.24,0.24,35.58
11,ARMENIA,25.94,0.01,40.49,0.01,56.08
12,ARUBA,9.63,0.00,9.87,0.00,2.44
13,AUSTRALIA,3520.44,1.07,2852.14,0.91,-18.98
14,AUSTRIA,483.16,0.15,455.59,0.15,-5.71
15,AZERBAIJAN,43.46,0.01,53.21,0.02,22.42
16,BAHAMAS,6.06,0.00,60.48,0.02,898.74
17,BAHARAIN IS,742.14,0.22,559.09,0.18,-24.66
18,BANGLADESH PR,9210.06,2.79,8200.75,2.62,-10.96
19,BARBADOS,12.43,0.00,12.76,0.00,2.65
20,BELARUS,55.71,0.02,55.77,0.02,0.10
21,BELGIUM,6729.93,2.04,5809.88,1.85,-13.67
22,BELIZE,16.98,0.01,14.27,0.00,-15.97
23,BENIN,426.90,0.13,326.62,0.10,-23.49
24,BERMUDA,3.15,0.00,2.48,0.00,-21.45
25,BHUTAN,657.33,0.20,738.60,0.24,12.36
26,BOLIVIA,104.71,0.03,113.46,0.04,8.36
27,BOSNIA-HRZGOVIN,17.08,0.01,15.32,0.00,-10.32
28,BOTSWANA,178.31,0.05,178.74,0.06,0.24
29,BR VIRGN IS,10.69,0.00,0.49,0.00,-95.40
30,BRAZIL,3800.49,1.15,3967.39,1.27,4.39
31,BRUNEI,56.19,0.02,57.62,0.02,2.54
32,BULGARIA,212.43,0.06,158.90,0.05,-25.20
33,BURKINA FASO,181.44,0.06,153.94,0.05,-15.15
34,BURUNDI,48.35,0.01,58.47,0.02,20.92
35,C AFRI REP,26.80,0.01,55.63,0.02,107.60
36,CAMBODIA,195.98,0.06,188.12,0.06,-4.01
37,CAMEROON,178.25,0.05,228.45,0.07,28.16
38,CANADA,2851.42,0.86,2851.79,0.91,0.01
39,CAPE VERDE IS,1.60,0.00,2.17,0.00,36.23
40,CAYMAN IS,4.37,0.00,6.58,0.00,50.66
41,CHAD,37.46,0.01,58.69,0.02,56.67
42,CHILE,989.80,0.30,793.43,0.25,-19.84
43,CHINA P RP,16752.20,5.08,16612.75,5.30,-0.83
44,CHRISTMAS IS.,0.00,0.00,0.00,0.00,0.00
45,COLOMBIA,1116.85,0.34,1043.41,0.33,-6.58
46,COMOROS,19.29,0.01,18.88,0.01,-2.13
47,CONGO D. REP.,302.94,0.09,352.77,0.11,16.45
48,CONGO P REP,132.88,0.04,112.91,0.04,-15.03
49,COOK IS,0.27,0.00,0.32,0.00,18.75
50,COSTA RICA,136.15,0.04,126.63,0.04,-7.00
51,COTE D' IVOIRE,448.64,0.14,414.67,0.13,-7.57
52,CROATIA,153.79,0.05,146.97,0.05,-4.44
53,CUBA,35.00,0.01,47.51,0.02,35.73
54,CYPRUS,70.65,0.02,443.28,0.14,527.41
55,CZECH REPUBLIC,429.13,0.13,496.35,0.16,15.66
